0,1,2,3,4
26.09583333,85.125,0.5,1006.795833,0.3489166667
25.49166667,87.75,1.4,1006.766667,0.327875
26.35833333,82.5,0.0,1006.0125,0.3101666667
25.025,90.625,6.2,1005.304167,0.373875
24.49166667,91.45833333,2.3,1005.708333,0.4416666667
25.24583333,86.375,0.8,1007.0,0.4182916667
25.20416667,82.29166667,0.0,1007.925,0.3854166667
25.0125,77.91666667,0.0,1007.433333,0.3575833333
25.02916667,77.54166667,0.0,1006.7125,0.3367916667
24.89166667,77.70833333,0.0,1006.416667,0.3170833333
25.78333333,80.125,0.0,1006.3625,0.3082083333
26.44583333,83.0,1.4,1006.166667,0.29925
26.1,80.83333333,0.2,1006.7875,0.289875
25.625,79.16666667,0.0,1007.5125,0.2811666667
24.92916667,74.83333333,0.0,1007.6375,0.2775
24.4125,80.91666667,0.2,1007.845833,0.2718333333
25.21666667,79.33333333,0.1,1008.583333,0.2640416667
26.22916667,79.125,0.8,1009.354167,0.2602083333
26.57083333,83.0,2.1,1009.779167,0.2627916667
26.425,78.75,0.0,1009.695833,0.284375
26.40833333,78.75,0.0,1009.379167,0.278
26.77083333,77.125,0.0,1008.741667,0.2740833333
26.8875,78.875,0.0,1008.5125,0.277125
26.22083333,74.16666667,0.0,1007.591667,0.2734166667
25.8,86.0,100000000.0,1013.2,0.22
25.8,86.0,100000000.0,1013.2,0.22
25.8,86.0,100000000.0,1013.2,0.22
25.8,86.0,100000000.0,1013.2,0.22
25.8,86.0,100000000.0,1013.2,0.22
25.8,86.0,100000000.0,1013.2,0.22
